"cell_id","effortId","search_effort","fringe_dist","assigned_community","area","area_prop"
2859,"prior",0,24830.5224076514,0,,
3561,"prior",0,24834.5474384204,0,,
3562,"2022-04-03T15-00-00-Caitlin Robinson",2.77320574162679,24811.506619651,0,844.723696821507,0.938581885357231
3563,"prior",0,24788.4803382458,0,,
4264,"prior",0,24815.5708009636,0,,
4265,"2022-03-30T17-51-00-Caitlin Robinson",1.21944035346097,24792.512272287,0,892.216895509601,0.991352106121779
4266,"prior",0,24769.4682594291,0,,
4267,"prior",0,24746.4388028222,0,,
4967,"prior",0,24796.6156604184,0,,
4968,"2022-03-30T17-51-00-Caitlin Robinson",0.0457290132547864,24773.5394147352,0,763.578280468094,0.848420311631216
4969,"2022-03-30T17-51-00-Caitlin Robinson",1.96634756995582,24750.4776632409,0,892.221716599455,0.991357462888283
4970,"prior",0,24727.4304463691,0,,
5666,"prior",0,24870.2018651388,0,,
5671,"prior",0,24754.5880962648,0,,
5672,"2022-03-30T17-51-00-Caitlin Robinson",0.838365243004418,24731.5085990255,0,860.471355958054,0.956079284397838
5673,"prior",0,24708.4436146967,0,,
5674,"prior",0,24685.3931838464,0,,
6368,"prior",0,24874.5439238495,0,,
6369,"prior",0,24851.3605720179,0,,
6370,"prior",0,24828.1914705312,0,,
6375,"prior",0,24712.5611162255,0,,
6376,"2022-03-30T17-51-00-Caitlin Robinson",0.0457290132547864,24689.4783573227,0,892.231358674611,0.991368176305123
6377,"prior",0,24666.4101301034,0,,
7048,"prior",0,25393.2017794985,0,,
7071,"prior",0,24855.7419305934,0,,
7072,"prior",0,24832.5409503235,0,,
7073,"prior",0,24809.3541985172,0,,
7077,"prior",0,24716.7502741225,0,,
7078,"prior",0,24693.6352643735,0,,
7079,"prior",0,24670.5347238574,0,,
7080,"prior",0,24647.4486931429,0,,
7750,"prior",0,25398.3690015836,0,,
7751,"prior",0,25374.8210582471,0,,
7752,"prior",0,25351.2864022122,0,,
7764,"prior",0,25069.9205012245,0,,
7773,"prior",0,24860.1944462041,0,,
7774,"prior",0,24836.9616643126,0,,
7775,"prior",0,24813.743049226,0,,
7776,"prior",0,24790.5386406386,0,,
7779,"prior",0,24721.0110526507,0,,
7780,"prior",0,24697.8638694624,0,,
8454,"prior",0,25356.4622360932,0,,
8455,"prior",0,25332.9104450277,0,,
8466,"prior",0,25074.7269028919,0,,
8467,"prior",0,25051.3372102082,0,,
8468,"prior",0,25027.9612721385,0,,
8476,"prior",0,24841.4535751538,0,,
8477,"prior",0,24818.2031741891,0,,
8478,"prior",0,24794.9669179852,0,,
8479,"prior",0,24771.7448462336,0,,
8481,"prior",0,24725.3434154684,0,,
8482,"prior",0,24702.1641364604,0,,
8483,"prior",0,24678.9992019106,0,,
9157,"prior",0,25338.1253605035,0,,
9158,"prior",0,25314.5564299884,0,,
9159,"prior",0,25291.0007797533,0,,
9170,"prior",0,25032.7758023852,0,,
9171,"prior",0,25009.3824381127,0,,
9179,"prior",0,24822.7345356737,0,,
9180,"prior",0,24799.4665094961,0,,
9181,"prior",0,24776.2126059512,0,,
9182,"prior",0,24752.9728647306,0,,
9861,"prior",0,25296.2244047224,0,,
9865,"prior",0,25202.0130602537,0,,
9869,"prior",0,25108.0162303087,0,,
9873,"prior",0,25014.2363263327,0,,
9874,"prior",0,24990.8255305203,0,,
9883,"prior",0,24780.7517195989,0,,
9884,"prior",0,24757.4801625695,0,,
9885,"prior",0,24734.2227456529,0,,
10567,"prior",0,25207.1843141887,0,,
10568,"prior",0,25183.6342585109,0,,
10569,"prior",0,25160.0975876425,0,,
10572,"prior",0,25089.5682594343,0,,
11271,"prior",0,25165.2775245655,0,,
15481,"prior",0,25245.3371658772,0,,
15482,"prior",0,25221.5747789347,0,,
16183,"prior",0,25251.0661927686,0,,
16184,"prior",0,25227.2737854389,0,,
16185,"prior",0,25203.4942875069,0,,
16886,"prior",0,25233.0423879403,0,,
16887,"prior",0,25209.2328891102,0,,
16888,"prior",0,25185.4362768859,0,,
17589,"prior",0,25215.0411185359,0,,
17590,"prior",0,25191.2145250613,0,,
18291,"prior",0,25220.9189283815,0,,
18292,"prior",0,25197.0624327205,0,,
18293,"prior",0,25173.2187415408,0,,
18995,"prior",0,25179.1063787315,0,,
18996,"prior",0,25155.2455868714,0,,
19698,"prior",0,25161.1730048876,0,,
19699,"prior",0,25137.295109457,0,,
19725,"prior",0,24521.0693748706,0,,
19726,"prior",0,24497.5500692086,0,,
19727,"prior",0,24474.0445840051,0,,
