"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
4050,700,1,17.3%,73.0%,45.2%,100.0%,1.2,3.23,0.270074692682123,0.03631415279317,0,Primula pauciflora,0.57
17,16,1,94.1%,94.7%,86.7%,100.0%,0.68,12.16,0.0527661225107363,0.00361284015851093,77,Primula pauciflora,0.57
4067,716,1,17.6%,85.6%,66.8%,100.0%,0.88,5.24,0.143701185040886,0.0172970492391993,all,Primula pauciflora,0.57
