"cell_id","effortId","search_effort","fringe_dist","assigned_community","area","area_prop"
61931,"prior",0,18788.7322991474,0,,
61932,"prior",0,18767.5850486704,0,,
62634,"prior",0,18767.6516474502,0,,
62635,"prior",0,18746.4805923316,0,,
62636,"prior",0,18725.3331830719,0,,
63338,"prior",0,18725.4000391102,0,,
63339,"prior",0,18704.2287718292,0,,
64003,"prior",0,19526.5334274474,0,,
64042,"prior",0,18683.1483176583,0,,
64043,"prior",0,18661.9768376451,0,,
64706,"prior",0,19506.3885810118,0,,
64711,"prior",0,19396.294107337,0,,
64745,"prior",0,18662.0919014346,0,,
64746,"prior",0,18640.8964831004,0,,
64747,"prior",0,18619.7247897833,0,,
65414,"prior",0,19376.0597599545,0,,
65415,"prior",0,19354.0807990375,0,,
65449,"prior",0,18619.8402210673,0,,
65450,"prior",0,18598.6445354469,0,,
65451,"prior",0,18577.4726282455,0,,
66117,"prior",0,19355.8503914762,0,,
66118,"prior",0,19333.8484218362,0,,
66119,"prior",0,19311.8675330068,0,,
66153,"prior",0,18577.5884284336,0,,
66154,"prior",0,18556.3924747023,0,,
66155,"prior",0,18535.2203530391,0,,
66821,"prior",0,19313.6410820421,0,,
66822,"prior",0,19291.6371348704,0,,
66857,"prior",0,18535.3365235456,0,,
66858,"prior",0,18514.1403008784,0,,
66859,"prior",0,18492.9679641642,0,,
67525,"prior",0,19271.4318329177,0,,
67526,"prior",0,19249.4259001399,0,,
67560,"prior",0,18514.3048570328,0,,
67561,"prior",0,18493.0845064185,0,,
67562,"prior",0,18471.8880139789,0,,
67563,"prior",0,18450.7154616274,0,,
68229,"prior",0,19229.2226452473,0,,
68264,"prior",0,18472.0530522932,0,,
68265,"prior",0,18450.8323770628,0,,
68266,"prior",0,18429.6356140152,0,,
68932,"prior",0,19209.0446246686,0,,
68933,"prior",0,19187.0135201902,0,,
68968,"prior",0,18429.8011364284,0,,
68969,"prior",0,18408.5801354965,0,,
68970,"prior",0,18387.3831009926,0,,
69635,"prior",0,19188.8919177149,0,,
69636,"prior",0,19166.8376156327,0,,
69637,"prior",0,19144.8044589093,0,,
69672,"prior",0,18387.5491094633,0,,
69673,"prior",0,18366.3277817298,0,,
70339,"prior",0,19146.6870847365,0,,
70375,"prior",0,18366.5426195924,0,,
70376,"prior",0,18345.2969714181,0,,
70377,"prior",0,18324.0753157793,0,,
71078,"prior",0,18345.5607498403,0,,
71079,"prior",0,18324.290754116,0,,
71080,"prior",0,18303.0447223137,0,,
71782,"prior",0,18303.3092141716,0,,
71783,"prior",0,18282.0387789737,0,,
72485,"prior",0,18282.3524362163,0,,
72486,"prior",0,18261.0575704945,0,,
72487,"prior",0,18239.7866941958,0,,
73189,"prior",0,18240.1011818995,0,,
73190,"prior",0,18218.8058188506,0,,
73191,"prior",0,18197.5344998112,0,,
73892,"prior",0,18219.1696985023,0,,
73893,"prior",0,18197.8498215585,0,,
73894,"prior",0,18176.553959283,0,,
73895,"prior",0,18155.2821958574,0,,
74559,"prior",0,18981.949635796,0,,
74560,"prior",0,18959.7954057321,0,,
74596,"prior",0,18176.9187880261,0,,
74597,"prior",0,18155.5983552465,0,,
74598,"prior",0,18134.3019918371,0,,
74599,"prior",0,18113.0297823616,0,,
75263,"prior",0,18939.7544968165,0,,
75300,"prior",0,18134.6677738113,0,,
75301,"prior",0,18113.3467830265,0,,
75302,"prior",0,18092.0499165557,0,,
75303,"prior",0,18070.7772593598,0,,
76004,"prior",0,18092.4166559358,0,,
76005,"prior",0,18071.0951049531,0,,
76006,"prior",0,18049.7977334847,0,,
76708,"prior",0,18050.1654344688,0,,
76709,"prior",0,18028.843321087,0,,
77412,"prior",0,18007.914109488,0,,
78078,"prior",0,18793.1625419146,0,,
78781,"prior",0,18773.1814494649,0,,
