"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
3703,419,15.71,11.3%,69.1%,39.7%,99.8%,1.31,2.94,0.309042421525126,0.0406347699465847,pot,Plagiobothrys tenellus,0.34
7,6,1,85.7%,68.8%,46.3%,92.5%,2.89,6.38,0.311528173691611,0.0208850326487073,PT1,Plagiobothrys tenellus,0.34
357,205,1.52,57.4%,61.6%,36.0%,88.1%,3.16,5.07,0.384089859482359,0.0256119585244169,PT2,Plagiobothrys tenellus,0.34
4067,630,17.26,15.5%,66.0%,40.5%,92.9%,2.51,4.87,0.339980282887982,0.0267595728881723,all,Plagiobothrys tenellus,0.34
