"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
4061,622,68.94,15.3%,81.6%,56.6%,100.0%,0.78,3.46,0.184207623589497,0.0286613915746847,pot,Crassula connata,0.59
6,6,1,100.0%,95.5%,90.7%,100.0%,1.46,31.07,0.0448911833630619,0.00127872239255127,CC1,Crassula connata,0.59
4067,628,69.04,15.4%,90.9%,76.7%,100.0%,0.64,6.33,0.0913990144137924,0.0104198442154376,all,Crassula connata,0.59
