"cells","searched","pops","habitatSearched","Central","Low","High","alpha","beta","mu","var","Population","target","prior_ER"
3710,338,15.74,9.1%,82.1%,57.5%,100.0%,0.76,3.48,0.178878878417421,0.0280235782652052,0,Meconella oregana,0.64
357,205,1.52,57.4%,79.0%,56.7%,100.0%,1.23,4.63,0.20950355971765,0.0241686883612914,55,Meconella oregana,0.64
4067,543,17.26,13.4%,80.1%,56.9%,100.0%,1.04,4.2,0.198893625119862,0.0255042167007126,all,Meconella oregana,0.64
